Instance,backtrack_solve_time,backtrack_total_time,FC_solve_time,FC_total_time,MAC3_solve_time,MAC3_total_time,MAC4_solve_time,MAC4_total_time,CP-SAT_solve_time,CP-SAT_total_time
0,0.0,0.002214670181274414,0.0,0.0023648738861083984,0.0,0.0017783641815185547,0.001,0.0029702186584472656,0.008583349,0.06035733222961426
1,0.0,0.0024213790893554688,0.0,0.0024538040161132812,0.001,0.0027954578399658203,0.013,0.014875411987304688,0.013043096,0.01513981819152832
2,0.0,0.004503965377807617,0.0,0.004758358001708984,0.004,0.008282661437988281,1.316,1.3204517364501953,0.014383682,0.021013259887695312
3,0.381,0.3923683166503906,0.1,0.11270737648010254,0.334,0.3426330089569092,0.098,0.1025540828704834,0.034655025,0.05235934257507324
4,0.0,0.004676342010498047,0.0,0.004930973052978516,0.006,0.010200023651123047,0.733,0.7513198852539062,0.027387507000000002,0.033872127532958984
5,0.012,0.029474735260009766,0.011,0.0322723388671875,0.098,0.11122608184814453,-1,-1,0.050293004,0.07929086685180664
6,0.001,0.02323174476623535,0.001,0.03287649154663086,0.043,0.06447124481201172,-1,-1,0.10773392100000001,0.17512130737304688
7,0.001,0.02458477020263672,0.002,0.0279848575592041,0.036,0.04847073554992676,-1,-1,0.069163207,0.11280560493469238
8,0.003,0.020084381103515625,0.002,0.02594757080078125,0.042,0.05230116844177246,-1,-1,0.054219567,0.08651971817016602
9,0.006,0.0402679443359375,0.106,0.2434079647064209,0.595,0.6783678531646729,-1,-1,0.8340846350000001,0.9452190399169922
10,-1,-1,0.006,0.058196067810058594,0.126,0.15067505836486816,-1,-1,0.109955627,0.20986509323120117
11,-1,-1,-1,-1,-1,-1,-1,-1,0.09955878400000001,0.13558030128479004
12,-1,-1,-1,-1,-1,-1,-1,-1,0.289629307,0.4919416904449463
13,-1,-1,-1,-1,-1,-1,-1,-1,0.109518586,0.1746993064880371
14,-1,-1,-1,-1,-1,-1,-1,-1,0.556927433,30.298831939697266
15,-1,-1,-1,-1,-1,-1,-1,-1,1.699735188,1.0481696128845215
16,-1,-1,-1,-1,-1,-1,-1,-1,4.643437845,3.48919939994812
17,-1,-1,-1,-1,-1,-1,-1,-1,0.075762992,9.652667045593262
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.16279697418213
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1091759204864502
