Instance,FC_h0_solve_time,FC_h0_total_time,FC_h1_solve_time,FC_h1_total_time,FC_h2_solve_time,FC_h2_total_time,FC_h3_solve_time,FC_h3_total_time,MAC4_h0_solve_time,MAC4_h0_total_time,MAC4_h1_solve_time,MAC4_h1_total_time,MAC4_h2_solve_time,MAC4_h2_total_time,MAC4_h3_solve_time,MAC4_h3_total_time,CP-SAT_solve_time,CP-SAT_total_time
15,0.003,0.1361074447631836,0.0,0.13393020629882812,0.065,0.18082451820373535,0.0,0.12198662757873535,0.164,0.3015255928039551,0.101,0.22464823722839355,1.487,1.6113481521606445,0.13,0.24113011360168457,0.043009481,0.06473565101623535
16,0.007,0.15098881721496582,0.005,0.15880370140075684,0.053,0.1912550926208496,0.001,0.15595126152038574,0.432,0.5816805362701416,0.33,0.47855663299560547,0.948,1.0944914817810059,0.161,0.3107318878173828,0.044304404000000006,0.06813788414001465
17,0.022,0.21204710006713867,0.015,0.21151232719421387,0.084,0.27228331565856934,0.0,0.1904609203338623,1.102,1.3037323951721191,0.698,0.8858063220977783,1.757,1.9622156620025635,0.225,0.4162626266479492,0.056479868,0.08754920959472656
18,0.004,0.2500638961791992,0.0,0.24980759620666504,0.098,0.33539390563964844,0.004,0.24625921249389648,0.431,0.6741726398468018,0.197,0.44258666038513184,3.208,3.449357271194458,0.359,0.618929386138916,0.070193985,0.11447310447692871
19,0.008,0.31624412536621094,0.003,0.3004331588745117,0.485,0.7782621383666992,0.002,0.2848997116088867,0.736,1.0192701816558838,0.552,0.8656120300292969,15.35,15.652011632919312,0.36,0.6644620895385742,0.07048863300000001,0.11559867858886719
20,0.111,0.4792470932006836,0.005,0.37839651107788086,0.065,0.4232947826385498,0.02,0.3721482753753662,8.578,8.953051328659058,1.335,1.709587812423706,2.245,2.6168429851531982,1.013,1.383110523223877,0.083350376,0.13798236846923828
21,0.011,0.45135498046875,0.001,0.4461855888366699,0.682,1.1179933547973633,0.007,0.4290757179260254,1.143,1.5961508750915527,0.448,0.9198818206787109,18.979,19.464060306549072,1.058,1.523747205734253,0.102424659,0.17007923126220703
22,0.052,0.6079916954040527,0.001,0.528728723526001,0.198,0.7335567474365234,0.002,0.5114450454711914,4.361,4.897632122039795,0.54,1.0834434032440186,4.373,4.9526896476745605,0.663,1.1875874996185303,0.13595431100000002,0.22258496284484863
23,0.08,0.7120683193206787,0.001,0.6356334686279297,1.602,2.250365734100342,0.002,0.6176049709320068,6.996,7.683126211166382,0.705,1.3405256271362305,-1,30,0.764,1.4185442924499512,0.15564283,0.2555866241455078
24,0.243,1.0175695419311523,0.012,0.770831823348999,7.009,7.741772651672363,0.005,0.8032021522521973,21.348,22.095797777175903,1.782,2.537029266357422,-1,-1,0.988,1.7786290645599365,0.168809015,0.3193378448486328
25,1.038,1.9637572765350342,0.003,0.9075584411621094,12.577,13.48799204826355,0.001,0.9043810367584229,-1,30,1.213,2.145472764968872,-1,-1,1.066,1.9832649230957031,0.19621950900000001,0.35183215141296387
26,0.264,1.3438315391540527,0.005,1.0877351760864258,0.375,1.4739680290222168,0.002,1.0882582664489746,-1,-1,1.342,2.409001588821411,-1,-1,1.26,2.3668599128723145,0.20273464500000002,0.37215662002563477
27,1.236,2.6564037799835205,0.008,1.294886827468872,9.6,10.866260528564453,0.025,1.3351829051971436,-1,-1,1.833,3.0520999431610107,-1,-1,2.715,4.00474739074707,0.22699844700000002,0.43117594718933105
28,0.457,1.924612045288086,0.005,1.4809842109680176,-1,30,0.002,1.4758057594299316,-1,-1,1.839,3.240709066390991,-1,-1,1.763,3.2321784496307373,0.284709445,0.5038247108459473
29,2.758,4.495652198791504,0.012,1.6771533489227295,-1,-1,0.006,1.6547613143920898,-1,-1,2.837,4.43758225440979,-1,-1,2.208,3.8971900939941406,0.301469533,0.5630025863647461
30,1.928,3.863705635070801,0.008,1.947601318359375,-1,-1,0.002,1.9764022827148438,-1,-1,2.823,4.993921518325806,-1,-1,2.534,4.4168829917907715,0.336411293,0.6560912132263184
31,19.164,21.341471672058105,0.003,2.159677028656006,-1,-1,0.005,2.231611728668213,-1,-1,2.614,4.789010047912598,-1,-1,3.061,5.289933443069458,0.45258651000000005,0.8607907295227051
32,-1,30,0.004,2.4245669841766357,-1,-1,0.007,2.5076489448547363,-1,-1,3.123,6.102819442749023,-1,-1,3.548,6.085589170455933,0.44357797800000004,0.8626103401184082
33,-1,-1,0.015,2.834887981414795,-1,-1,0.012,2.7544891834259033,-1,-1,4.237,7.0065529346466064,-1,-1,4.347,7.138463258743286,0.507703828,0.9693324565887451
34,-1,-1,0.002,3.1142866611480713,-1,-1,0.006,3.2044899463653564,-1,-1,3.972,7.103586196899414,-1,-1,4.407,7.542102098464966,0.5684894300000001,1.1283400058746338
