Instance,backtrack_solve_time,backtrack_total_time,FC_solve_time,FC_total_time,MAC3_solve_time,MAC3_total_time,MAC4_solve_time,MAC4_total_time,cp-sat_solve_time,cp-sat_total_time
15,0.034,0.13526058197021484,0.002,0.10884785652160645,0.016,0.14171433448791504,0.13,0.24905848503112793,0.036344505,0.0716102123260498
16,0.296,0.4196782112121582,0.006,0.13886404037475586,0.04,0.1820065975189209,0.354,0.4888310432434082,0.046499935000000006,0.07469487190246582
17,0.158,0.3191101551055908,0.016,0.18122482299804688,0.11,0.27401065826416016,0.898,1.0727722644805908,0.045413549000000004,0.0764610767364502
18,1.037,1.2478468418121338,0.003,0.20286822319030762,0.028,0.2309870719909668,0.4,0.6021149158477783,0.050958281,0.0904245376586914
19,0.064,0.33077311515808105,0.006,0.2519104480743408,0.052,0.3492097854614258,0.633,0.8841943740844727,0.058050553000000005,0.10669636726379395
20,5.938,6.257310390472412,0.084,0.38283419609069824,0.603,0.9067375659942627,7.373,7.651492595672607,0.069047775,0.14281320571899414
21,0.261,0.6199321746826172,0.009,0.36569714546203613,0.064,0.4594850540161133,0.94,1.2979581356048584,0.08233059200000001,0.15163660049438477
22,-1,-1,0.037,0.4634087085723877,0.289,0.7462637424468994,3.664,4.089170932769775,0.10478609900000001,0.19571852684020996
23,-1,-1,0.059,0.5689651966094971,0.589,1.2179646492004395,5.791,6.310305833816528,0.12030842300000001,0.254791259765625
24,-1,-1,0.196,0.8145046234130859,1.724,2.753048896789551,18.33,18.924764394760132,0.13449893100000002,0.2560570240020752
25,-1,-1,0.834,1.5679092407226562,7.591,8.474344491958618,-1,-1,0.146901094,0.3013019561767578
26,-1,-1,0.212,1.0611357688903809,2.379,3.583923816680908,-1,-1,0.18727342600000002,0.3819451332092285
27,-1,-1,0.976,1.9651923179626465,11.699,12.98866605758667,-1,-1,0.200507439,0.40982913970947266
28,-1,-1,0.351,1.4828975200653076,4.85,6.289457321166992,-1,-1,0.21693161200000002,0.44280529022216797
29,-1,-1,2.066,3.3355870246887207,24.677,26.20110011100769,-1,-1,0.24467738500000002,0.4954349994659424
30,-1,-1,1.48,2.9784109592437744,15.584,17.093300819396973,-1,-1,0.281591182,0.593299388885498
31,-1,-1,17.027,18.996843814849854,-1,-1,-1,-1,0.331336389,0.6820378303527832
32,-1,-1,-1,-1,-1,-1,-1,-1,0.37242535200000004,0.767296552658081
33,-1,-1,-1,-1,-1,-1,-1,-1,0.40397809300000004,0.8357763290405273
34,-1,-1,-1,-1,-1,-1,-1,-1,0.46798080700000005,0.9742319583892822
